week,home,away
3,27,8
3,4,20
3,23,5
3,7,25
3,3,22
3,26,32
3,13,6
3,16,14
3,11,21
3,17,31
3,15,18
3,19,1
3,2,29
3,12,30
3,28,10
3,9,24
4,20,7
4,21,23
4,4,3
4,8,2
4,25,27
4,32,9
4,15,26
4,6,24
4,18,13
4,31,14
4,29,11
4,1,5
4,22,12
4,10,17
4,16,30
4,19,28
5,14,10
5,24,12
5,27,4
5,2,30
5,29,23
5,20,25
5,11,22
5,31,32
5,13,15
5,6,21
5,18,8
5,28,5
5,9,19
5,26,1
5,7,3
5,17,16
6,32,6
6,28,2
6,7,23
6,25,12
6,3,24
6,30,27
6,21,20
6,22,8
6,15,14
6,5,19
6,1,29
6,4,16
6,9,26
6,10,18
7,23,1
7,2,7
7,8,3
7,12,32
7,24,15
7,30,5
7,14,31
7,11,9
7,25,10
7,13,17
7,16,28
7,29,18
7,27,20
7,6,22
8,3,30
8,10,15
8,5,2
8,17,23
8,22,25
8,27,26
8,20,11
8,6,9
8,1,21
8,31,13
8,28,19
8,32,14
8,24,29
8,12,4
8,7,8
9,26,13
9,4,25
9,18,2
9,5,7
9,20,6
9,14,22
9,21,32
9,17,15
9,12,11
9,29,1
9,19,30
9,31,16
9,3,23
