team_id,rank,week,points_scored,total_yards,first_downs,passes_completed,passes_attempted,passing_yards,yards_per_pass_attempt,rushing_yards,penalties,expected_points
1,10,9,203,3039,188,242,364,1986,5.1,1053,64,18.86
2,7,9,217,2881,176,124,201,1415,6.4,1466,39,60.56
3,3,9,235,3194,189,160,257,1681,6.1,1513,48,67.59
4,6,9,220,3331,185,193,305,2337,7.3,994,43,94.68
5,21,9,179,2609,129,154,268,1661,5.7,948,50,-32.63
6,17,9,187,2890,162,111,188,1131,5.1,1759,45,19.34
7,4,9,228,3256,202,237,337,2367,6.4,889,41,86.53
8,12,9,200,3086,181,163,256,1769,6.5,1317,51,67.49
9,19,9,183,2577,145,144,237,1525,6.1,1052,55,24.03
10,31,9,121,2631,136,158,274,1764,5.9,867,70,-25.26
11,16,9,188,3018,166,174,276,1945,6.7,1073,51,36.24
12,26,9,154,3108,178,211,326,2022,5.9,1086,56,7.63
13,28,9,133,2324,134,162,259,1509,5.4,815,43,-22.31
14,29,9,132,2836,170,235,349,2056,5.4,780,47,-56.5
15,13,9,199,3307,203,198,309,1986,6.2,1321,54,57.21
16,1,9,243,3322,200,219,334,2494,7.1,828,47,114.68
17,20,9,183,2707,159,179,287,1825,6,882,50,49.47
18,18,9,184,2914,167,233,351,2201,6.1,713,46,32.52
19,30,9,131,2288,140,196,287,1741,5.5,547,32,-23.3
20,8,9,213,3424,187,214,322,2642,7.8,782,58,76.82
21,15,9,193,2721,174,200,307,1905,5.9,816,40,45.24
22,11,9,203,2879,158,181,266,1824,6.3,1055,52,-9.09
23,9,9,212,3398,182,204,314,2220,6.7,1178,62,31.81
24,23,9,163,2565,163,144,223,1273,5.1,1292,54,33.54
25,14,9,196,3015,165,189,324,1971,5.7,1044,55,-4.32
26,5,9,225,3128,188,164,241,1938,7.4,1190,43,104.61
27,32,9,120,2392,147,192,295,1633,5.2,759,51,-34.08
28,22,9,176,2853,158,160,251,1897,7.1,956,51,42.19
29,2,9,241,3238,187,207,284,2034,6.7,1204,66,59.3
30,24,9,162,2986,178,260,398,2440,5.9,546,51,4.33
31,27,9,149,2228,125,107,176,1090,5.6,1138,53,-3.39
32,25,9,159,2911,175,202,324,1939,5.5,972,52,-21.31
1,11,8,182,2777,173,217,329,1846,5.3,931,52,23.88
2,6,8,200,2566,157,112,178,1301,6.6,1265,37,58.82
3,3,8,208,2875,166,148,235,1550,6.2,1325,43,55.68
4,4,8,203,3014,166,175,271,2154,7.6,860,40,94.14
5,22,8,158,2381,116,137,238,1497,5.8,884,43,-33
6,23,8,155,2522,139,94,160,1015,5.3,1507,41,2.16
7,9,8,186,2792,172,212,306,2144,6.4,648,36,56.33
8,5,8,200,3086,181,163,256,1769,6.5,1317,51,67.49
9,10,8,183,2577,145,144,237,1525,6.1,1052,55,24.03
10,29,8,121,2631,136,158,274,1764,5.9,867,70,-25.33
11,17,8,173,2764,147,160,250,1808,6.9,956,44,37.59
12,25,8,145,2719,159,188,283,1739,5.8,980,48,12.88
13,32,8,116,2021,114,149,237,1374,5.4,647,39,-24.2
14,28,8,129,2715,162,220,320,2013,5.8,702,45,-24.57
15,18,8,172,2904,181,173,278,1751,6,1153,50,44.1
16,1,8,223,2823,171,176,266,2072,7.5,751,37,109.09
17,21,8,163,2386,143,158,251,1577,5.9,809,45,49.9
18,19,8,164,2578,148,203,308,1956,6.2,622,41,27.4
19,31,8,118,2082,131,183,260,1603,5.6,479,28,-12.31
20,12,8,178,3045,166,193,292,2340,7.6,705,55,56.99
21,16,8,173,2420,157,177,266,1660,5.9,760,35,47.36
22,13,8,177,2676,147,161,236,1691,6.7,985,48,0.46
23,7,8,199,3155,169,184,284,2025,6.8,1130,57,35.8
24,20,8,163,2565,163,144,223,1273,5.1,1292,54,33.54
25,15,8,176,2705,144,171,299,1835,5.8,870,52,-11.96
26,8,8,196,2768,164,143,214,1721,7.4,1047,39,86.77
27,30,8,120,2390,147,192,295,1631,5.2,759,51,-34.08
28,14,8,176,2853,158,160,251,1897,7.1,956,51,42.19
29,2,8,210,2817,160,181,250,1771,6.6,1046,60,48.63
30,24,8,146,2663,160,224,340,2168,6.1,495,44,13.2
31,27,8,132,1999,116,102,160,1033,5.8,966,45,0.46
32,26,8,142,2648,157,187,296,1813,5.6,835,49,-19.55
1,13,7,156,2402,148,186,285,1549,5.1,853,42,21.01
2,10,7,163,2160,136,92,150,1062,6.4,1098,30,49.42
3,3,7,181,2422,139,121,197,1328,6.3,1094,36,44.44
4,4,7,176,2645,146,162,246,1938,7.6,707,36,81.35
5,25,7,124,1903,93,118,202,1188,5.4,715,34,-42.83
6,23,7,126,2151,117,76,136,884,5.4,1267,35,0.64
7,6,7,173,2563,157,187,271,1951,6.6,612,34,59.82
8,7,7,168,2646,157,146,233,1501,6.1,1145,45,51.57
9,21,7,134,2135,121,123,210,1283,5.8,852,49,-2.44
10,32,7,100,2300,118,140,244,1534,5.8,766,58,-29.92
11,18,7,146,2371,125,133,213,1497,6.7,874,38,0.8
12,22,7,128,2321,138,169,253,1549,5.8,772,40,7.33
13,30,7,106,1860,104,132,207,1256,5.7,604,33,-9.67
14,28,7,113,2391,147,203,297,1824,5.7,567,42,-24.15
15,15,7,155,2599,157,155,247,1637,6.4,962,45,45.91
16,1,7,223,2823,171,176,266,2072,7.5,751,37,109.09
17,9,7,163,2203,130,135,212,1432,6.4,771,39,58.39
18,8,7,164,2578,148,203,308,1956,6.2,622,41,27.4
19,31,7,104,1859,115,161,227,1436,5.8,423,24,-15.68
20,17,7,147,2569,139,164,256,1971,7.3,598,48,31.52
21,20,7,139,2039,132,153,230,1452,6,587,25,37.14
22,14,7,155,2388,128,137,201,1530,7.2,858,42,9.77
23,5,7,175,2788,147,161,253,1794,6.7,994,52,19.04
24,16,7,150,2340,149,127,192,1126,5.3,1214,48,44.34
25,12,7,159,2318,127,151,258,1499,5.5,819,48,-9.66
26,11,7,161,2367,144,123,184,1431,7.2,936,31,54.03
27,29,7,107,2090,126,165,255,1475,5.5,615,42,-29.12
28,19,7,145,2485,136,138,225,1640,6.9,845,48,19.01
29,2,7,183,2540,141,158,216,1580,6.8,960,57,51.42
30,26,7,124,2314,140,198,296,1863,6.1,451,40,4.52
31,27,7,115,1645,100,96,150,993,6.1,652,39,-1.83
32,24,7,125,2286,137,164,265,1547,5.4,739,46,-21.93
1,21,6,114,2076,127,166,256,1360,5,716,38,7.27
2,7,6,146,1946,123,84,137,955,6.3,991,27,46.23
3,4,6,158,2168,122,112,181,1234,6.4,934,33,42.86
4,2,6,176,2645,146,162,246,1938,7.6,707,36,81.35
5,26,6,103,1560,79,102,180,1018,5.1,542,31,-50.22
6,30,6,93,1762,93,63,115,737,5.3,1025,31,-8.07
7,15,6,138,2026,128,153,229,1492,5.9,534,29,26.77
8,5,6,148,2310,139,124,206,1278,5.9,1032,39,44.96
9,22,6,110,1805,100,104,185,1092,5.6,713,42,-6.83
10,31,6,91,1976,97,116,198,1315,6,661,54,-21.39
11,12,6,140,2059,107,112,187,1302,6.7,757,30,31.13
12,23,6,107,2089,122,146,218,1355,5.8,734,31,5.5
13,32,6,86,1456,83,104,166,960,5.4,496,30,-14.95
14,25,6,103,2099,130,170,253,1597,5.8,502,38,-11.67
15,14,6,138,2147,130,133,203,1327,6.2,820,32,31.77
16,1,6,179,2294,147,151,230,1655,6.9,639,29,78.51
17,18,6,125,1803,105,114,185,1196,6.1,607,34,34.91
18,9,6,141,2249,127,170,257,1680,6.4,569,34,32
19,24,6,104,1859,115,161,227,1436,5.8,423,24,-15.68
20,16,6,131,2197,122,143,221,1710,7.2,487,43,31.48
21,13,6,139,2039,132,153,230,1452,6,587,25,37.14
22,10,6,141,2128,116,120,173,1340,7.3,788,38,20.74
23,11,6,141,2294,122,129,204,1385,6.3,909,44,13.11
24,17,6,127,1904,122,108,162,926,5.1,978,40,27.34
25,8,6,143,2058,117,135,232,1394,5.7,664,37,-1.52
26,3,6,161,2367,144,123,184,1431,7.2,936,31,63.46
27,28,6,97,1749,107,133,211,1229,5.5,520,37,-22.4
28,19,6,122,2041,111,109,179,1297,6.9,744,38,15.42
29,6,6,146,2136,117,138,189,1390,6.8,746,50,39.29
30,20,6,121,1992,123,166,247,1587,6.2,405,36,9.83
31,29,6,96,1391,84,83,130,877,6.2,514,37,2.64
32,27,6,102,1922,115,144,232,1349,5.3,573,39,-22.63
1,18,5,105,1761,112,143,219,1189,5.2,572,32,21.28
2,10,5,118,1657,105,71,123,834,6.2,823,22,34.67
3,4,5,138,1762,99,95,149,1039,6.6,723,23,36.86
4,2,5,152,2202,120,135,206,1620,7.6,582,29,70.22
5,25,5,93,1357,71,89,159,908,5.2,449,28,-38.48
6,28,5,86,1370,73,49,88,583,5.5,787,27,-5.91
7,17,5,108,1678,107,125,192,1219,5.8,459,26,9.59
8,6,5,133,1982,123,103,161,1020,6.1,962,32,57.31
9,24,5,93,1490,79,86,147,911,5.8,579,32,-6.79
10,31,5,75,1718,84,101,170,1155,6.2,563,44,-18.28
11,3,5,140,2059,107,112,187,1302,6.7,757,30,31.13
12,22,5,97,1811,107,118,173,1137,6.2,674,24,21.74
13,27,5,86,1456,83,104,166,960,5.4,496,30,-14.95
14,32,5,69,1665,101,128,195,1208,5.6,457,31,-33.65
15,15,5,111,1768,105,113,181,1191,6.4,577,28,15.3
16,1,5,159,1907,124,126,190,1336,6.7,571,24,72.06
17,8,5,125,1803,105,114,185,1196,6.1,607,34,34.91
18,9,5,122,1952,103,133,200,1456,7.1,496,25,33.03
19,29,5,80,1499,93,135,194,1187,5.5,312,17,-19.19
20,14,5,115,1739,99,113,174,1325,7.2,414,33,39.86
21,12,5,115,1805,121,133,200,1296,6.2,509,23,41.57
22,19,5,103,1729,96,96,139,1039,7,690,26,9.44
23,13,5,115,1895,100,110,168,1214,6.7,681,40,4.05
24,20,5,103,1666,104,89,135,771,5.1,895,37,22.41
25,11,5,116,1780,103,125,214,1295,5.7,485,30,1.07
26,5,5,135,2099,122,108,159,1299,7.6,800,29,55.51
27,30,5,77,1479,92,113,181,1036,5.4,443,30,-25.01
28,16,5,108,1695,90,80,138,1001,6.8,694,33,14.83
29,7,5,127,1840,98,118,158,1230,7.4,610,44,47.51
30,21,5,103,1688,103,141,207,1358,6.3,330,30,9.66
31,23,5,96,1391,84,83,130,877,6.2,514,37,2.64
32,26,5,90,1708,101,132,210,1263,5.5,445,32,-15.35
1,14,4,88,1398,89,115,177,950,5.2,448,30,8.95
2,8,4,103,1396,86,57,98,724,6.9,672,16,30.77
3,3,4,119,1437,77,76,117,869,7,568,17,32.97
4,5,4,114,1650,99,113,170,1188,6.7,462,24,49.56
5,17,4,78,1049,56,64,117,664,5.2,385,23,-25.26
6,31,4,64,1099,59,34,67,390,4.7,709,21,-5.87
7,13,4,91,1387,87,101,157,1029,5.9,358,22,6.37
8,6,4,105,1539,96,82,127,790,6,749,26,40.78
9,27,4,71,1251,69,76,131,835,6.1,416,27,1.65
10,30,4,66,1343,66,80,131,905,6.3,438,37,-6.92
11,1,4,140,1747,90,93,152,1091,6.9,656,23,53.17
12,21,4,75,1510,85,93,134,930,6.5,580,17,16.07
13,25,4,73,1208,68,88,142,828,5.4,380,26,-12.95
14,32,4,57,1359,82,102,154,1008,6,351,23,-18.74
15,7,4,105,1346,83,88,134,905,6.5,441,22,17.69
16,2,4,129,1539,95,97,147,1071,7,468,19,57.85
17,10,4,96,1425,87,95,155,973,5.9,452,23,23.26
18,12,4,92,1487,77,111,166,1229,7.2,258,21,17.02
19,29,4,70,1176,79,106,150,902,5.4,274,14,-8.08
20,9,4,98,1444,80,94,140,1167,7.9,277,22,46.01
21,15,4,86,1376,92,100,158,984,6,392,16,20.12
22,24,4,74,1365,74,79,118,851,6.7,514,20,-0.64
23,18,4,76,1457,74,93,143,1011,6.5,446,34,-11
24,19,4,76,1328,80,68,108,558,4.6,770,31,6.34
25,20,4,76,1458,82,111,193,1108,5.5,350,25,-10.79
26,4,4,115,1742,98,82,123,1081,8.2,661,26,44.88
27,23,4,74,1115,69,79,129,726,5.3,389,24,-15.59
28,28,4,71,1298,68,62,108,757,6.6,541,24,-1.21
29,11,4,95,1444,83,102,133,985,7.1,459,32,42.94
30,16,4,82,1268,77,106,155,1007,6.2,261,24,-3.64
31,22,4,75,1150,69,68,105,741,6.6,409,29,2.39
32,26,4,73,1323,84,107,172,921,4.9,402,23,-16.38
1,13,3,62,1060,69,92,145,744,4.9,316,23,15.09
2,9,3,80,1063,67,50,79,593,7,470,15,24.85
3,1,3,99,1141,55,56,88,735,7.8,406,8,35.63
4,3,3,91,1324,77,94,134,987,7,337,20,47.46
5,14,3,62,829,45,42,81,484,5.4,345,17,-5.72
6,21,3,52,795,43,23,45,235,4.3,560,16,-1.04
7,10,3,64,1016,71,80,125,725,5.2,291,16,-2.74
8,6,3,85,1136,74,61,92,564,5.9,572,19,35.53
9,30,3,46,972,54,61,104,618,5.7,354,23,-0.21
10,31,3,43,1044,54,63,106,691,6,353,30,-0.27
11,2,3,95,1227,63,66,112,716,6.2,511,15,31.05
12,27,3,48,1067,61,72,99,686,6.4,381,13,10.9
13,26,3,49,862,52,62,107,613,5.4,249,17,-16.08
14,32,3,40,994,61,75,117,681,5.3,313,16,-22.1
15,7,3,84,1127,70,77,111,757,6.7,370,18,28.75
16,4,3,88,1122,68,74,110,843,7.5,279,15,40.73
17,11,3,64,1040,62,74,121,800,6.2,240,19,11.22
18,17,3,58,1068,55,84,127,891,6.9,177,15,0.07
19,15,3,61,919,58,74,102,702,6.3,217,13,3.48
20,8,3,83,1066,60,72,103,874,8,192,16,45.53
21,16,3,58,1032,69,74,119,721,5.9,311,11,13.71
22,25,3,50,1094,57,64,97,747,7.3,347,13,1.36
23,23,3,51,1119,55,73,115,784,6.2,335,24,-18.36
24,18,3,56,995,59,59,92,487,4.6,508,24,-2.99
25,20,3,52,1110,63,92,156,858,5.2,252,18,-9.33
26,5,3,86,1341,73,66,98,890,8.5,451,23,45.06
27,19,3,54,818,49,62,103,548,5.1,270,16,-13.04
28,29,3,47,971,55,46,81,518,5.9,453,20,-11.26
29,28,3,47,889,56,79,103,665,6.1,224,21,10.01
30,22,3,51,892,50,67,103,634,5.8,258,19,-17.79
31,24,3,51,907,50,51,84,625,7.1,282,23,-2.94
32,12,3,63,1026,67,82,130,766,5.3,260,12,-2.96
