team_id,name,city,state
1,Arizona Cardinals,Phoenix,Arizona
2,Atlanta Falcons,Atlanta,Georgia
3,Baltimore Ravens,Baltimore,Maryland
4,Buffalo Bills,Buffalo,New York
5,Carolina Panthers,Charlotte,North Carolina
6,Chicago Bears,Chicago,Illinois
7,Cincinnati Bengals,Cincinnati,Ohio
8,Cleveland Browns,Cleveland,Ohio
9,Dallas Cowboys,Dallas,Texas
10,Denver Broncos,Denver,Colorado
11,Detroit Lions,Detroit,Michigan
12,Green Bay Packers,Green Bay,Wisconsin
13,Houston Texans ,Houston,Texas
14,Indianapolis Colts,Indianapolis,Indiana
15,Jacksonville Jaguars,Jacksonville ,Florida
16,Kansas City Chiefs ,Kansas City,Missouri
17,Las Vegas Raiders,Las Vegas,Nevada
18,Los Angeles Chargers,Los Angeles,California
19,Los Angeles Rams ,Los Angeles,California
20,Miami Dolphins,Miami,Florida
21,Minnesota Vikings,Minneapolis,Minnesota
22,New England Patriots,Foxborough,Massachusetts
23,New Orleans Saints,New Orleans,Lousiana
24,New York Giants,New York,New York
25,New York Jets,New York,New York
26,Philadelphia Eagles,Philadelphia,Pennsylvania
27,Pittsburgh Steelers,Pittsburgh,Pennsylvania
28,San Francisco 49ers,San Francisco,California
29,Seattle Seahawks,Seattle,Washington
30,Tampa Bay Buccaneers,Tampa Bay,Florida
31,Tennessee Titans ,Nashville,Tennessee
32,Washington Commanders ,Landover,Maryland
